,date,slice id,state,filename,file key
171,2018-02-21,Slice1c3,control,dataset/2018-02-21_NS/2018-02-21 Slice1c3fI.hdf5,000001 f-I curve +20~+300
172,2018-02-21,Slice1c3,control,dataset/2018-02-21_NS/2018-02-21 Slice1c3fI.hdf5,000002 f-I curve +20~+300
173,2018-02-21,Slice1c3,control,dataset/2018-02-21_NS/2018-02-21 Slice1c3fI.hdf5,000003 f-I curve +20~+300
174,2018-02-21,Slice1c3,control,dataset/2018-02-21_NS/2018-02-21 Slice1c3fI.hdf5,000004 f-I curve +20~+300
175,2018-02-21,Slice1c3,control,dataset/2018-02-21_NS/2018-02-21 Slice1c3fI.hdf5,000005 f-I curve +20~+300
176,2018-02-21,Slice1c3,control,dataset/2018-02-21_NS/2018-02-21 Slice1c3fI.hdf5,000006 f-I curve +20~+300
177,2018-02-21,Slice1c3,control,dataset/2018-02-21_NS/2018-02-21 Slice1c3fI.hdf5,000007 f-I curve +20~+300
178,2018-02-21,Slice1c3,control,dataset/2018-02-21_NS/2018-02-21 Slice1c3fI.hdf5,000008 f-I curve +20~+300
179,2018-02-21,Slice1c3,control,dataset/2018-02-21_NS/2018-02-21 Slice1c3fI.hdf5,000009 f-I curve +20~+300
180,2018-02-21,Slice1c3,control,dataset/2018-02-21_NS/2018-02-21 Slice1c3fI.hdf5,000010 f-I curve +20~+300
181,2018-02-21,Slice1c3,control,dataset/2018-02-21_NS/2018-02-21 Slice1c3fI.hdf5,000011 f-I curve +20~+300
182,2018-02-21,Slice1c3,control,dataset/2018-02-21_NS/2018-02-21 Slice1c3fI.hdf5,000012 f-I curve +20~+300
183,2018-02-21,Slice1c3,control,dataset/2018-02-21_NS/2018-02-21 Slice1c3fI.hdf5,000013 f-I curve +20~+300
184,2018-02-21,Slice1c3,control,dataset/2018-02-21_NS/2018-02-21 Slice1c3fI.hdf5,000014 f-I curve +20~+300
185,2018-02-21,Slice1c3,control,dataset/2018-02-21_NS/2018-02-21 Slice1c3fI.hdf5,000015 f-I curve +20~+300
186,2018-02-21,Slice1c3,control,dataset/2018-02-21_NS/2018-02-21 Slice1c3fI.hdf5,000016 f-I curve +20~+300
187,2018-02-21,Slice1c3,control,dataset/2018-02-21_NS/2018-02-21 Slice1c3fI.hdf5,000017 f-I curve +20~+300
188,2018-02-21,Slice1c3,control,dataset/2018-02-21_NS/2018-02-21 Slice1c3fI.hdf5,000018 f-I curve +20~+300
189,2018-02-21,Slice1c3,control,dataset/2018-02-21_NS/2018-02-21 Slice1c3fI.hdf5,000019 f-I curve +20~+300
190,2018-02-21,Slice1c3,control,dataset/2018-02-21_NS/2018-02-21 Slice1c3fI.hdf5,000020 f-I curve +20~+300
191,2018-03-21,Slice1c2,control,dataset/2018-03-21_NS/2018-03-21 Slice1c2 fI.hdf5,000001 f-I curve +20~+300
192,2018-03-21,Slice1c2,control,dataset/2018-03-21_NS/2018-03-21 Slice1c2 fI.hdf5,000002 f-I curve +20~+300
193,2018-03-21,Slice1c2,control,dataset/2018-03-21_NS/2018-03-21 Slice1c2 fI.hdf5,000003 f-I curve +20~+300
